"","site","batch","tablet","y"
"1","1","1","1",5.03
"2","1","1","2",5.1
"3","1","1","3",5.25
"4","1","1","4",4.98
"5","1","1","5",5.05
"6","1","2","1",4.64
"7","1","2","2",4.73
"8","1","2","3",4.82
"9","1","2","4",4.95
"10","1","2","5",5.06
"11","1","3","1",5.1
"12","1","3","2",5.15
"13","1","3","3",5.2
"14","1","3","4",5.08
"15","1","3","5",5.14
"16","2","1","1",5.05
"17","2","1","2",4.96
"18","2","1","3",5.12
"19","2","1","4",5.12
"20","2","1","5",5.05
"21","2","2","1",5.46
"22","2","2","2",5.15
"23","2","2","3",5.18
"24","2","2","4",5.18
"25","2","2","5",5.11
"26","2","3","1",4.9
"27","2","3","2",4.95
"28","2","3","3",4.86
"29","2","3","4",4.86
"30","2","3","5",5.07
